story_name,clause_num,total_bits,wording_bits,semantic_bits
Shambaugh,1,85.93809611672857,55.19329970742256,30.744796409306012
Shambaugh,2,63.67018973423245,38.955583874967225,24.71460585926523
Shambaugh,3,80.97015847941722,65.13709993096529,15.833058548451927
Shambaugh,4,63.04755200143327,22.126963156959118,40.920588844474146
Shambaugh,5,24.488876571621585,9.619141009293015,14.869735562328568
Shambaugh,6,18.582447509336827,8.651415265305818,9.931032244031007
Shambaugh,7,7.145408595615957,4.693756006872528,2.4516525887434297
Shambaugh,8,27.185784676751403,17.594116865841187,9.591667810910218
Shambaugh,9,26.023457121225377,18.180211726202327,7.843245395023049
Shambaugh,10,45.698052256970286,24.000831068173497,21.69722118879679
Shambaugh,11,59.444600773986075,24.192681165424958,35.25191960856112
Shambaugh,12,11.783888009761025,6.654149103331908,5.129738906429117
Dalphonso,1,59.74786259181558,42.58204581623831,17.165816775577277
Dalphonso,2,77.599452620652,61.014447390286215,16.585005230365795
Dalphonso,3,19.21714878684127,5.103322375404338,14.113826411436932
Dalphonso,4,111.26803113834495,40.638669370687715,70.62936176765723
Dalphonso,5,38.411755462225955,22.030509782444934,16.38124567978102
Dalphonso,6,41.35526192221299,37.77855111499707,3.5767108072159166
Dalphonso,7,29.300428316816298,26.607570742192465,2.6928575746238304
Dalphonso,8,35.69261345045664,26.136167682836383,9.556445767620255
Dalphonso,9,94.46834754070974,50.38760361080268,44.08074392990706
Dalphonso,10,53.57986578694326,34.092916132054135,19.486949654889127
Dalphonso,11,69.6852348082554,32.573040775064364,37.11219403319104
Dalphonso,12,50.4661487791694,21.94615296957762,28.51999580959178
Dalphonso,13,20.90938635387781,11.716932248708217,9.192454105169595
Dalphonso,14,40.60538454078859,25.512473284121867,15.092911256666723
Dalphonso,15,22.167347442122608,11.969244038903653,10.198103403218953
Dalphonso,16,39.60648729440482,16.496597880933177,23.10988941347165
Dalphonso,17,63.140397876948484,45.61483878254858,17.525559094399902
Dalphonso,18,41.44537532850217,38.931247634738455,2.514127693763719
Schissel,1,56.76666854247863,15.498493130018494,41.26817541246013
Schissel,2,32.71987268516141,12.811172024138429,19.908700661022984
Schissel,3,39.01176303300483,19.100211588980173,19.91155144402466
Schissel,4,29.96409973596335,21.354422588926482,8.60967714703687
Schissel,5,64.33940862887655,28.935087642999477,35.40432098587708
Schissel,6,41.582796335860316,23.400612323802484,18.18218401205783
Schissel,7,31.519505326921767,16.712156818761216,14.807348508160553
Schissel,8,33.79713899012825,6.183230327125805,27.613908663002448
Schissel,9,20.266413561189005,5.9449531824844914,14.321460378704515
Schissel,10,92.16412123380944,67.7478460996767,24.416275134132725
Schissel,11,24.756872322754752,9.619581277981338,15.137291044773413
Schissel,12,18.01959919235336,12.011950763868022,6.00764842848534
Schissel,13,45.478706953023185,14.323551690969289,31.155155262053896
Schissel,14,9.68755983047568,7.707816639583016,1.9797431908926644
Schissel,15,15.36420907663057,16.03562934212749,-0.6714202654969208
Schissel,16,43.359748611717514,24.159506392959713,19.200242218757804
Schissel,17,52.05536754957561,31.998701271615182,20.056666277960424
Schissel,18,75.04338867537454,50.42846122776236,24.614927447612178
Boyscout,1,60.99472306277909,24.285997589864206,36.708725472914885
Boyscout,2,45.83374518574195,22.744989004015064,23.088756181726886
Boyscout,3,11.225970786917246,8.65617024533378,2.569800541583466
Boyscout,4,62.7177855861456,44.02474085712727,18.693044729018325
Boyscout,5,27.619015855384223,14.024175303067999,13.594840552316226
Boyscout,6,59.24911841497175,31.960287244195364,27.288831170776383
Boyscout,7,38.2990449135992,24.41592291600814,13.883121997591061
Boyscout,8,25.213350050536025,14.01555690113614,11.197793149399883
Boyscout,9,37.60552281399019,31.158440825731958,6.4470819882582315
Boyscout,10,58.80747796661458,23.101083891107592,35.706394075506985
Boyscout,11,22.322324441254626,12.660212529337525,9.6621119119171
Boyscout,12,19.616919020020536,12.243887941871296,7.37303107814924
Boyscout,13,19.42002777696628,8.16024383945515,11.25978393751113
Boyscout,14,36.969060422779684,20.1822328682042,16.78682755457549
Boyscout,15,13.621069975893064,2.975558521833487,10.645511454059578
Boyscout,16,23.69294637588116,7.203249795759934,16.489696580121226
Boyscout,17,84.47849448611572,49.30679311093914,35.17170137517658
Boyscout,18,19.611635712084347,5.259356039008985,14.35227967307536
Boyscout,19,6.888023487512541,8.081346437094194,-1.1933229495816522
Tarentino,1,133.04101273911886,70.41944663289111,62.62156610622775
Tarentino,2,88.13401462680663,53.09987734389537,35.03413728291126
Tarentino,3,28.848265290275794,4.99756817910106,23.850697111174735
Tarentino,4,24.807592070286002,14.094454300611707,10.713137769674296
Tarentino,5,41.17303187217087,27.28341854187848,13.889613330292386
Tarentino,6,14.074729947136078,7.575557842936188,6.499172104199889
Tarentino,7,66.51472224521694,33.54037027117275,32.9743519740442
Tarentino,8,14.083183231177811,8.20532804505598,5.877855186121831
Tarentino,9,19.363672501931557,7.5797845065974805,11.783887995334073
Tarentino,10,32.22288960615398,8.904133456352188,23.318756149801793
Tarentino,11,28.154390968214113,14.746590479301547,13.407800488912565
Tarentino,12,38.542473285281666,11.7694469598935,26.773026325388166
Tarentino,13,11.085170654222255,8.036218192361623,3.04895246186063
Tarentino,14,30.395217597192477,8.782969612719217,21.61224798447326
Tarentino,15,32.06333372379339,21.715096349148723,10.348237374644665
Tarentino,16,36.03963865628043,14.898199376585247,21.141439279695184
Tarentino,17,7.62486871219831,1.1816996692366444,6.4431690429616655
Tarentino,18,37.54881531650279,13.427811002680787,24.12100431382201
Tarentino,19,27.887407858147206,21.639721174199885,6.2476866839473235
Guyton,1,107.21186022132734,100.1440281830546,7.0678320382727415
Guyton,2,32.686059520140574,7.996813527427496,24.68924599271308
Guyton,3,12.205143694252333,4.540826275102765,7.66431741914957
Guyton,4,36.71123503444639,22.657814438216228,14.053420596230161
Guyton,5,120.81373418607996,68.60867293665234,52.20506124942761
Guyton,6,42.27772733105079,26.557423350015352,15.720303981035443
Guyton,7,45.966180060433125,34.941679399798716,11.024500660634413
Guyton,8,38.75974929061481,21.251662264715886,17.508087025898927
Guyton,9,29.513785859265695,21.631620098183873,7.882165761081819
Guyton,10,18.463573085100638,12.978179552332492,5.485393532768147
Guyton,11,22.618189627973457,8.219769100694284,14.398420527279171
Guyton,12,10.485251141220587,3.292909165635141,7.192341975585448
Guyton,13,18.30419333127872,2.1696780744099673,16.134515256868756
Guyton,14,27.268358362983186,20.04554931605664,7.222809046926545
Guyton,15,70.68395593331398,46.50701460829519,24.17694132501879
Guyton,16,79.70969349015738,17.094976441262805,62.61471704889457
Guyton,17,33.90861676017066,15.861632430097101,18.04698433007356
Guyton,18,19.44256988698017,10.552525257465756,8.890044629514414
Guyton,19,129.96618306407314,100.77978613036964,29.18639693370348
Guyton,20,40.39454756532554,20.471626004937377,19.922921560388165
Guyton,21,14.93141817967033,4.984888245824985,9.946529933845344
Guyton,22,20.22309045342459,8.77028967367236,11.452800779752229
Guyton,23,104.9885125388697,82.46440979363783,22.52410274523187
Guyton,24,8.044715518420489,3.3004818949878882,4.7442336234326
Guyton,25,64.99612368848668,36.85136375490303,28.144759933583632
Guyton,26,22.730900178042905,4.836691484904717,17.89420869313819
CI,1,48.690957630002515,38.37794229864782,10.313015331354698
CI,2,93.00482746452549,60.88056508505194,32.12426237947354
CI,3,21.910226488595786,11.837073307247513,10.073153181348275
